"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 12 04:19:42 GMT 2023","Sun Mar 12 04:19:44 GMT 2023","1713","src.test.testcases","test_parabank_login","","","","test_web_login",""
"passed","Sun Mar 12 04:19:42 GMT 2023","Sun Mar 12 04:19:44 GMT 2023","1704","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sun Mar 12 04:19:45 GMT 2023","Sun Mar 12 04:19:46 GMT 2023","1444","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
