"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 12 02:46:52 GMT 2023","Sun Mar 12 02:46:53 GMT 2023","1186","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sun Mar 12 02:46:51 GMT 2023","Sun Mar 12 02:46:52 GMT 2023","1114","src.test.testcases","test_parabank_login","","","","test_web_login",""
"passed","Sun Mar 12 02:46:51 GMT 2023","Sun Mar 12 02:46:52 GMT 2023","1239","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
