"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 12 14:14:02 GMT 2023","Sun Mar 12 14:14:09 GMT 2023","6404","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"failed","Sun Mar 12 14:14:09 GMT 2023","Sun Mar 12 14:14:16 GMT 2023","6621","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"failed","Sun Mar 12 14:14:02 GMT 2023","Sun Mar 12 14:14:09 GMT 2023","6406","src.test.testcases","test_parabank_login","","","","test_web_login",""
