"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 20:30:55 GMT 2023","Sat Mar 11 20:30:57 GMT 2023","1577","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sat Mar 11 20:30:52 GMT 2023","Sat Mar 11 20:30:54 GMT 2023","1761","src.test.testcases","test_parabank_login","","","","test_web_login",""
"passed","Sat Mar 11 20:30:53 GMT 2023","Sat Mar 11 20:30:54 GMT 2023","1688","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
