"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 12 15:07:46 GMT 2023","Sun Mar 12 15:07:52 GMT 2023","6391","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"failed","Sun Mar 12 15:07:45 GMT 2023","Sun Mar 12 15:07:52 GMT 2023","6447","src.test.testcases","test_parabank_login","","","","test_web_login",""
"failed","Sun Mar 12 15:07:52 GMT 2023","Sun Mar 12 15:07:59 GMT 2023","6568","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
