"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 12 10:16:19 GMT 2023","Sun Mar 12 10:16:25 GMT 2023","6011","src.test.testcases","test_parabank_login","","","","test_web_login",""
"failed","Sun Mar 12 10:16:25 GMT 2023","Sun Mar 12 10:16:31 GMT 2023","6164","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"failed","Sun Mar 12 10:16:19 GMT 2023","Sun Mar 12 10:16:25 GMT 2023","6131","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
