"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 11 19:28:18 GMT 2023","Sat Mar 11 19:28:25 GMT 2023","6609","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sat Mar 11 19:28:15 GMT 2023","Sat Mar 11 19:28:17 GMT 2023","1566","src.test.testcases","test_parabank_login","","","","test_web_login",""
"passed","Sat Mar 11 19:28:15 GMT 2023","Sat Mar 11 19:28:17 GMT 2023","1753","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
