"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 16 17:31:42 GMT 2024","Sun Jun 16 17:33:42 GMT 2024","120016","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[AamShol]",""
"passed","Sun Jun 16 17:27:45 GMT 2024","Sun Jun 16 17:29:44 GMT 2024","119068","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[ordinary_review]",""
"passed","Sun Jun 16 17:25:41 GMT 2024","Sun Jun 16 17:25:45 GMT 2024","3745","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[Quail]",""
"passed","Sun Jun 16 17:21:36 GMT 2024","Sun Jun 16 17:21:37 GMT 2024","271","","test_catapi_images","","","","test_GET_cat_image_by_id[getcatimagebyid]",""
"passed","Sun Jun 16 17:37:43 GMT 2024","Sun Jun 16 17:37:45 GMT 2024","2848","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[CHAKA]",""
"passed","Sun Jun 16 17:21:36 GMT 2024","Sun Jun 16 17:21:36 GMT 2024","396","","test_catapi_images","","","","test_GET_random_cat_image[getrandomcatimage]",""
"passed","Sun Jun 16 17:21:37 GMT 2024","Sun Jun 16 17:21:38 GMT 2024","728","","test_catapi_images","","","","test_DELETE_remove_favorite[deletefavoutite]",""
"passed","Sun Jun 16 17:27:45 GMT 2024","Sun Jun 16 17:29:44 GMT 2024","118972","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[RedRiverValley]",""
"passed","Sun Jun 16 17:21:37 GMT 2024","Sun Jun 16 17:21:37 GMT 2024","440","","test_catapi_images","","","","test_POST_set_favorite[postfavoutite]",""
"passed","Sun Jun 16 17:25:41 GMT 2024","Sun Jun 16 17:25:45 GMT 2024","3690","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[gulmoharreview]",""
