"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 12 01:26:34 GMT 2023","Sun Mar 12 01:26:36 GMT 2023","1479","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sun Mar 12 01:26:36 GMT 2023","Sun Mar 12 01:26:37 GMT 2023","1336","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sun Mar 12 01:26:34 GMT 2023","Sun Mar 12 01:26:36 GMT 2023","1458","src.test.testcases","test_parabank_login","","","","test_web_login",""
