"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 12 15:22:45 GMT 2023","Sun Mar 12 15:22:52 GMT 2023","6365","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"failed","Sun Mar 12 15:22:52 GMT 2023","Sun Mar 12 15:22:59 GMT 2023","6516","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"failed","Sun Mar 12 15:22:45 GMT 2023","Sun Mar 12 15:22:52 GMT 2023","6330","src.test.testcases","test_parabank_login","","","","test_web_login",""
