"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 11 17:01:51 GMT 2023","Sat Mar 11 17:01:57 GMT 2023","6502","src.test.testcases","test_parabank_login","","","","test_web_login",""
"failed","Sat Mar 11 17:01:51 GMT 2023","Sat Mar 11 17:01:57 GMT 2023","6472","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sat Mar 11 17:01:58 GMT 2023","Sat Mar 11 17:02:00 GMT 2023","1882","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
