"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 19:45:17 GMT 2023","Sat Mar 11 19:45:18 GMT 2023","1231","src.test.testcases","test_parabank_login","","","","test_web_login",""
"failed","Sat Mar 11 19:45:20 GMT 2023","Sat Mar 11 19:45:27 GMT 2023","7093","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sat Mar 11 19:45:17 GMT 2023","Sat Mar 11 19:45:19 GMT 2023","1419","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
