"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 12 16:08:42 GMT 2023","Sun Mar 12 16:08:49 GMT 2023","6181","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"failed","Sun Mar 12 16:08:36 GMT 2023","Sun Mar 12 16:08:42 GMT 2023","6009","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"failed","Sun Mar 12 16:08:36 GMT 2023","Sun Mar 12 16:08:42 GMT 2023","6083","src.test.testcases","test_parabank_login","","","","test_web_login",""
