"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 11 12:53:01 GMT 2023","Sat Mar 11 12:53:07 GMT 2023","6278","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sat Mar 11 12:53:08 GMT 2023","Sat Mar 11 12:53:09 GMT 2023","1539","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"failed","Sat Mar 11 12:53:01 GMT 2023","Sat Mar 11 12:53:07 GMT 2023","6361","src.test.testcases","test_parabank_login","","","","test_web_login",""
