"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 17:57:22 GMT 2023","Sat Mar 11 17:57:24 GMT 2023","1593","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sat Mar 11 17:57:20 GMT 2023","Sat Mar 11 17:57:21 GMT 2023","1565","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sat Mar 11 17:57:20 GMT 2023","Sat Mar 11 17:57:21 GMT 2023","1363","src.test.testcases","test_parabank_login","","","","test_web_login",""
