"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 11 15:07:17 GMT 2023","Sat Mar 11 15:07:23 GMT 2023","6057","src.test.testcases","test_parabank_login","","","","test_web_login",""
"failed","Sat Mar 11 15:07:17 GMT 2023","Sat Mar 11 15:07:24 GMT 2023","6283","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sat Mar 11 15:07:24 GMT 2023","Sat Mar 11 15:07:26 GMT 2023","1282","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
