"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 11 12:50:48 GMT 2023","Sat Mar 11 12:50:50 GMT 2023","1218","src.test.testcases","test_parabank_registration","","","","test_web_registration",""
"passed","Sat Mar 11 12:50:45 GMT 2023","Sat Mar 11 12:50:48 GMT 2023","2697","src.test.testcases","test_parabank_login","","","","test_web_login_again",""
"passed","Sat Mar 11 12:50:45 GMT 2023","Sat Mar 11 12:50:47 GMT 2023","2663","src.test.testcases","test_parabank_login","","","","test_web_login",""
