"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 04:46:50 GMT 2024","Tue Jul 16 04:48:50 GMT 2024","119520","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[RedRiverValley]",""
"passed","Tue Jul 16 04:40:42 GMT 2024","Tue Jul 16 04:40:43 GMT 2024","525","","test_catapi_images","","","","test_DELETE_remove_favorite[deletefavoutite]",""
"passed","Tue Jul 16 04:40:46 GMT 2024","Tue Jul 16 04:40:53 GMT 2024","7603","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[AamShol]",""
"passed","Tue Jul 16 04:44:46 GMT 2024","Tue Jul 16 04:44:50 GMT 2024","3620","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[gulmoharreview]",""
"passed","Tue Jul 16 04:44:46 GMT 2024","Tue Jul 16 04:44:50 GMT 2024","3472","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[CHAKA]",""
"passed","Tue Jul 16 04:46:50 GMT 2024","Tue Jul 16 04:48:50 GMT 2024","119957","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[ordinary_review]",""
"passed","Tue Jul 16 04:40:41 GMT 2024","Tue Jul 16 04:40:42 GMT 2024","361","","test_catapi_images","","","","test_GET_random_cat_image[getrandomcatimage]",""
"passed","Tue Jul 16 04:40:42 GMT 2024","Tue Jul 16 04:40:42 GMT 2024","190","","test_catapi_images","","","","test_GET_cat_image_by_id[getcatimagebyid]",""
"passed","Tue Jul 16 04:40:42 GMT 2024","Tue Jul 16 04:40:42 GMT 2024","283","","test_catapi_images","","","","test_POST_set_favorite[postfavoutite]",""
"passed","Tue Jul 16 04:42:54 GMT 2024","Tue Jul 16 04:44:49 GMT 2024","115492","src.test.testcases.youtube","test_youtube_hits","","","","test_web_login[Quail]",""
